time,seconds_elapsed,z,y,x
1772454806189482800,0.064482666015625,-0.00890694186091423,0.02304673008620739,0.05772747844457626
1772454806199500500,0.07450048828125,-0.010585266165435314,0.03310602158308029,0.0630631223320961
1772454806209518600,0.0845185546875,-0.012072375044226646,0.02713388204574585,0.0464969277381897
1772454806219536600,0.09453662109375,-0.008887767791748047,0.007724498864263296,0.022731145843863487
1772454806229554700,0.1045546875,-0.0018002968281507492,-0.00998951680958271,-0.0020658141002058983
1772454806239572500,0.114572509765625,-0.004307929426431656,-0.022042717784643173,-0.025050491094589233
1772454806249589800,0.12458984375,-0.003154514357447624,-0.020114323124289513,-0.03437208756804466
1772454806259607600,0.134607666015625,-0.007006510626524687,-0.013049488887190819,-0.034029338508844376
1772454806269625600,0.14462548828125,-0.015414110384881496,-0.009036637842655182,-0.026851586997509003
1772454806279643600,0.1546435546875,-0.016805877909064293,-0.0020543625578284264,-0.018267421051859856
1772454806289661700,0.16466162109375,-0.025595640763640404,0.016394952312111855,-0.006896521896123886
1772454806299679500,0.174679443359375,-0.02918451651930809,0.01667165383696556,0.00296303303912282
1772454806309697500,0.184697509765625,-0.031955536454916,0.010145312175154686,0.007860319688916206
1772454806319714600,0.194714599609375,-0.0303959883749485,0.0006149238906800747,0.012114719487726688
1772454806329732600,0.204732666015625,-0.030419157817959785,-0.013236177153885365,0.006959639023989439
1772454806339750700,0.214750732421875,-0.029930735006928444,-0.022492259740829468,-0.0010498181218281388
1772454806349768700,0.224768798828125,-0.029219936579465866,-0.019931895658373833,-0.010063286870718002
1772454806359786500,0.234786376953125,-0.025740250945091248,-0.010097108781337738,-0.010787134058773518
1772454806369804500,0.244804443359375,-0.021976405754685402,-0.009176986292004585,-0.008332232013344765
1772454806379821600,0.254821533203125,-0.011834288947284222,-0.01101643219590187,-0.011797537095844746
1772454806389839600,0.264839599609375,-0.008833705447614193,-0.008070443756878376,-0.016688432544469833
1772454806399857400,0.274857421875,-0.0062128882855176926,-0.004285558592528105,-0.028732312843203545
1772454806409875700,0.284875732421875,-0.009552226401865482,-0.00014061490946915,-0.0301981158554554
1772454806419893500,0.2948935546875,-0.015469237230718136,0.0010988202411681414,-0.027606327086687088
1772454806429911600,0.30491162109375,-0.01974334381520748,0.0057710702531039715,-0.02305285446345806
1772454806439929600,0.3149296875,-0.023547669872641563,0.0032261533197015524,-0.014598649926483631
