time,seconds_elapsed,z,y,x
1772454502543723800,0.061723876953125,0.05604089796543121,0.10740315169095993,-0.054734352976083755
1772454502553741600,0.071741455078125,0.03279496356844902,0.11452897638082504,-0.03985793516039848
1772454502563759900,0.081759765625,0.0031997880432754755,0.10925804823637009,-0.03557717055082321
1772454502573777700,0.091777587890625,-0.01804904080927372,0.10174287110567093,-0.04910682514309883
1772454502583795700,0.101795654296875,-0.02467418648302555,0.10368271917104721,-0.06528846174478531
1772454502593812700,0.111812744140625,-0.01990792714059353,0.10489765554666519,-0.08633462339639664
1772454502603830800,0.121830810546875,-0.017912421375513077,0.10998988151550293,-0.0988307073712349
1772454502613848600,0.1318486328125,-0.017432786524295807,0.11026552319526672,-0.1002752035856247
1772454502623867000,0.141866943359375,-0.017663681879639626,0.09040606021881104,-0.0858462005853653
1772454502633884700,0.151884765625,-0.022480009123682976,0.0649891197681427,-0.05175427347421646
1772454502643902000,0.16190185546875,-0.029459089040756226,0.04715472832322121,-0.0021632856223732233
1772454502653919700,0.171919677734375,-0.04483378306031227,0.034265562891960144,0.04722690209746361
1772454502663937800,0.181937744140625,-0.05475858598947525,0.013599964790046215,0.08392445743083954
1772454502673955600,0.19195556640625,-0.060682255774736404,-0.003781422507017851,0.10715947300195694
1772454502683972900,0.201972900390625,-0.058937352150678635,-0.016262326389551163,0.10639168322086334
1772454502693991400,0.211991455078125,-0.06673935055732727,-0.021559353917837143,0.08429517596960068
1772454502704009200,0.22200927734375,-0.07084114849567413,-0.018449846655130386,0.04430967569351196
1772454502714027500,0.232027587890625,-0.07260362803936005,-0.012179434299468994,-0.00637880340218544
1772454502724045300,0.24204541015625,-0.06756279617547989,0.015477759763598442,-0.047744885087013245
1772454502734062000,0.25206201171875,-0.05734877660870552,0.0522962287068367,-0.06174752116203308
1772454502744080400,0.262080322265625,-0.05241234228014946,0.09513343870639801,-0.05468961223959923
1772454502754098400,0.272098388671875,-0.06015494838356972,0.12017860263586044,-0.037088777869939804
1772454502764116200,0.2821162109375,-0.06329374760389328,0.12135092914104462,-0.01714196801185608
1772454502774134300,0.29213427734375,-0.064023457467556,0.1063019409775734,0.0032176312524825335
1772454502784151300,0.3021513671875,-0.05795864015817642,0.06925470381975174,0.018504709005355835
1772454502794169000,0.312169189453125,-0.047022368758916855,0.00998898409307003,0.03434891998767853
1772454502804187400,0.3221875,-0.03315555676817894,-0.03755642846226692,0.04916248470544815
1772454502814205400,0.332205322265625,-0.03229242563247681,-0.06220132112503052,0.05920819565653801
1772454502824222200,0.34222216796875,-0.03641606494784355,-0.06685493141412735,0.06352198123931885
1772454502834240300,0.352240234375,-0.03435850515961647,-0.0633547380566597,0.06133579462766647
1772454502844258300,0.36225830078125,-0.025592444464564323,-0.06253954768180847,0.046732619404792786
1772454502854276400,0.3722763671875,-0.01372460089623928,-0.058342400938272476,0.02767769992351532
1772454502864294400,0.38229443359375,-0.0013840447645634413,-0.052128713577985764,0.0043654534965753555
1772454502874311200,0.392311279296875,0.01227504201233387,-0.044564537703990936,-0.015304920263588428
1772454502884329200,0.4023291015625,0.018490860238671303,-0.04295945167541504,-0.02407524175941944
1772454502894347300,0.41234716796875,0.02353675104677677,-0.042575690895318985,-0.012973855249583721
1772454502904365300,0.422365234375,0.023928502574563026,-0.031019700691103935,0.007024353835731745
1772454502914383400,0.43238330078125,0.02154763601720333,-0.029576001688838005,0.03285488486289978
1772454502924400400,0.442400390625,0.016087623313069344,-0.032942503690719604,0.046910252422094345
1772454502934418200,0.452418212890625,0.010126669891178608,-0.04236530140042305,0.053592123091220856
1772454502944436200,0.462436279296875,0.007510913070291281,-0.04761279374361038,0.05648244917392731
1772454502954454500,0.47245458984375,0.006849916651844978,-0.057624414563179016,0.055266983807086945
1772454502964472300,0.482472412109375,0.003593403147533536,-0.05868328735232353,0.05156226083636284
1772454502974489000,0.492489013671875,0.0026351979468017817,-0.045395445078611374,0.04240098595619202
1772454502984507400,0.50250732421875,0.0039007319137454033,-0.0387580469250679,0.02803216688334942
1772454502994525200,0.512525146484375,0.014874020591378212,-0.026014024391770363,0.011922439560294151
1772454503004543200,0.522543212890625,0.02052391692996025,-0.019516443833708763,-0.002778209513053298
1772454503014560300,0.532560302734375,0.01763545349240303,-0.008403871208429337,-0.005775331053882837
1772454503024578300,0.542578369140625,0.017115071415901184,0.0009416937828063965,-0.007186007685959339
1772454503034596000,0.55259619140625,0.019266905263066292,0.01375123206526041,-0.00177952426020056
1772454503044614400,0.562614501953125,0.019906330853700638,0.025186579674482346,0.005375590641051531
1772454503054632200,0.572632080078125,0.032656747847795486,0.029794912785291672,0.014162956736981869
1772454503064649200,0.582649169921875,0.04333948343992233,0.029209017753601074,0.019714582711458206
1772454503074667300,0.592667236328125,0.050886351615190506,0.0254619512706995,0.02209571562707424
1772454503084685300,0.602685302734375,0.04721704497933388,0.014474280178546906,0.023145532235503197
1772454503094703000,0.612703125,0.0341944545507431,-0.008590558543801308,0.018060758709907532
1772454503104721400,0.622721435546875,0.022281071171164513,-0.03520459309220314,0.002295911079272628
1772454503114738200,0.63273828125,0.013698767870664597,-0.04093118757009506,-0.01739230565726757
1772454503124756200,0.642756103515625,0.005635515321046114,-0.0358424186706543,-0.04675658792257309
1772454503134774300,0.652774169921875,0.003683684393763542,-0.03080877847969532,-0.08536309748888016
1772454503144792300,0.662792236328125,0.003934021573513746,-0.025647839531302452,-0.11076805740594864
1772454503154810000,0.67281005859375,-0.0017622136510908604,-0.010690993629395962,-0.11824808269739151
1772454503164827400,0.682827392578125,0.0019259981345385313,-0.0027409254107624292,-0.10591338574886322
1772454503174845200,0.69284521484375,0.0065074339509010315,-0.006569219287484884,-0.07597146183252335
1772454503184863200,0.70286328125,0.01672731526196003,-0.025535985827445984,-0.046006105840206146
1772454503194881300,0.71288134765625,0.025799905881285667,-0.050457581877708435,-0.009841179475188255
1772454503204899300,0.7228994140625,0.033906035125255585,-0.09317974746227264,0.027173297479748726
1772454503214916400,0.732916259765625,0.034319356083869934,-0.12157463282346725,0.056404419243335724
1772454503224934400,0.742934326171875,0.03957963362336159,-0.1385703980922699,0.07663219422101974
1772454503234952200,0.7529521484375,0.051958806812763214,-0.1349106729030609,0.09052803367376328
1772454503244970200,0.76297021484375,0.05492397025227547,-0.11297129094600677,0.07305556535720825
1772454503254987300,0.7729873046875,0.055877912789583206,-0.08326612412929535,0.03236406669020653
1772454503265005300,0.78300537109375,0.05758393555879593,-0.05706728249788284,-0.01077035628259182
1772454503275023000,0.793023193359375,0.057612162083387375,-0.02858317457139492,-0.04583992436528206
1772454503285041400,0.80304150390625,0.056054480373859406,-0.007864315062761307,-0.07006856799125671
1772454503295059200,0.81305908203125,0.04844662919640541,0.006049104034900665,-0.08505603671073914
1772454503305076500,0.823076416015625,0.04683887958526611,0.027172498404979706,-0.09362982213497162
1772454503315094300,0.83309423828125,0.044129643589258194,0.040106408298015594,-0.09424847364425659
1772454503325112300,0.8431123046875,0.041605234146118164,0.04451926425099373,-0.07903169840574265
1772454503335130000,0.853130126953125,0.03554627671837807,0.03340349718928337,-0.0480910949409008
1772454503345148400,0.8631484375,0.017732657492160797,0.021407820284366608,-0.010583136230707169
1772454503355165200,0.873165283203125,-0.0029350698459893465,0.010849718004465103,0.023539414629340172
1772454503365183200,0.883183349609375,-0.022649651393294334,0.0036250948905944824,0.04193466529250145
1772454503375201300,0.893201171875,-0.03133901581168175,-0.005726595409214497,0.04572620987892151
1772454503385219300,0.90321923828125,-0.033000294119119644,-0.009471265599131584,0.03379764407873154
1772454503395237000,0.913237060546875,-0.03597318008542061,0.003974767867475748,0.01768498681485653
1772454503405254400,0.92325439453125,-0.03408020734786987,0.022224079817533493,0.0008080030675046146
1772454503415272200,0.933272216796875,-0.030474819242954254,0.035285551100969315,-0.0059814597479999065
1772454503425290200,0.943290283203125,-0.02544677071273327,0.04548945277929306,-0.01630733348429203
1772454503435308300,0.953308349609375,-0.01432407833635807,0.05306508392095566,-0.024590032175183296
1772454503445326300,0.963326416015625,0.0008748483960516751,0.04529504477977753,-0.02947959490120411
1772454503455343400,0.97334326171875,0.01966851018369198,0.0508464016020298,-0.01525858137756586
1772454503465361400,0.983361328125,0.026390595361590385,0.07818827778100967,0.020024575293064117
1772454503475379200,0.993379150390625,0.006593454163521528,0.02610616944730282,0.04489317163825035
1772454503485397200,1.003397216796875,-0.015843145549297333,-0.024867799133062363,0.07253571599721909
1772454503495414300,1.013414306640625,-0.023847009986639023,-0.03967098146677017,0.07808521389961243
1772454503505432300,1.023432373046875,-0.015924904495477676,-0.046846333891153336,0.07012955099344254
1772454503515450000,1.0334501953125,-0.020840033888816833,-0.024587634950876236,0.026503778994083405
1772454503525468400,1.043468505859375,-0.046133141964673996,0.0052355085499584675,-0.046306245028972626
1772454503535486200,1.053486328125,-0.06944485753774643,0.026674486696720123,-0.12295068800449371
1772454503545503500,1.06350341796875,-0.08917009085416794,0.08859750628471375,-0.1742170751094818
1772454503555521300,1.073521240234375,-0.09854388236999512,0.14031369984149933,-0.18837976455688477
1772454503565539300,1.083539306640625,-0.0856507197022438,0.1372920721769333,-0.18546973168849945
1772454503575557000,1.09355712890625,-0.06442586332559586,0.08879351615905762,-0.17153659462928772
1772454503585575400,1.103575439453125,-0.050215501338243484,0.02744094468653202,-0.16084854304790497
1772454503595592200,1.11359228515625,-0.04831559956073761,-0.027469174936413765,-0.14304636418819427
1772454503605610500,1.123610595703125,-0.047987766563892365,-0.06334488093852997,-0.12068753689527512
1772454503615628300,1.133628173828125,-0.040757548063993454,-0.06689860671758652,-0.09598458558320999
1772454503625646300,1.143646240234375,-0.03009292110800743,-0.04590357467532158,-0.06915324181318283
1772454503635663400,1.153663330078125,-0.010894459672272205,-0.021168401464819908,-0.04710199683904648
1772454503645681400,1.163681396484375,0.007032609544694424,-0.010673150420188904,-0.030545393005013466
1772454503655699200,1.17369921875,0.026824424043297768,0.011355984956026077,-0.013549364171922207
1772454503665717200,1.18371728515625,0.03195873275399208,0.039569780230522156,-0.0022682142443954945
1772454503675735300,1.1937353515625,0.03411881998181343,0.04445801302790642,0.008598015643656254
1772454503685752300,1.20375244140625,0.038058970123529434,0.020387031137943268,0.02593439444899559
1772454503695770400,1.213770263671875,0.030285734683275223,-0.013601562939584255,0.03562004491686821
1772454503705788400,1.223788330078125,0.016957944259047508,-0.03608982637524605,0.03880998119711876
1772454503715806200,1.23380615234375,0.0035457327030599117,-0.040999896824359894,0.029233252629637718
1772454503725824300,1.24382421875,-0.0022620889358222485,-0.0556211844086647,0.0012455604737624526
1772454503735841300,1.25384130859375,0.007733287289738655,-0.07672540098428726,-0.023082150146365166
1772454503745859300,1.263859375,0.024323714897036552,-0.10239827632904053,-0.03470471873879433
1772454503755877400,1.27387744140625,0.029342975467443466,-0.11381231993436813,-0.01853719912469387
1772454503765895400,1.2838955078125,0.012769058346748352,-0.07467104494571686,0.007273625582456589
1772454503775912200,1.293912109375,-0.021806761622428894,-0.000803209375590086,0.032393891364336014
1772454503785930500,1.303930419921875,-0.04765087738633156,0.05753945931792259,0.053281065076589584
1772454503795948300,1.3139482421875,-0.04878538101911545,0.08498945832252502,0.06890396773815155
1772454503805966300,1.32396630859375,-0.04171122610569,0.08652210980653763,0.06826667487621307
1772454503815984000,1.333984130859375,-0.031551800668239594,0.07569689303636551,0.06351612508296967
1772454503826001400,1.34400146484375,-0.025021197274327278,0.05781456455588341,0.04647189378738403
1772454503836019200,1.354019287109375,-0.02123178541660309,0.02971901372075081,0.028903020545840263
1772454503846037500,1.36403759765625,-0.019237609580159187,0.00803262647241354,0.009094162844121456
1772454503856055300,1.37405517578125,-0.016741961240768433,-0.006131395697593689,-0.012776249088346958
1772454503866073300,1.3840732421875,-0.009740778245031834,-0.02696290798485279,-0.026277143508195877
