time,seconds_elapsed,z,y,x
1772456316038949400,0.059949462890625,-0.9711761474609375,-0.016632080078125,0.0286865234375
1772456316048967200,0.06996728515625,-0.9790191650390625,-0.016571044921875,0.0330047607421875
1772456316058986200,0.079986328125,-0.9855499267578125,-0.0152435302734375,0.0337982177734375
1772456316069004300,0.09000439453125,-0.9802398681640625,-0.0170440673828125,0.0322265625
1772456316079023000,0.100023193359375,-0.9645233154296875,-0.0172882080078125,0.0260772705078125
1772456316089041200,0.110041259765625,-0.95709228515625,-0.009796142578125,0.02301025390625
1772456316099060200,0.120060302734375,-0.9579925537109375,-0.0025634765625,0.01873779296875
1772456316109078300,0.130078369140625,-0.959442138671875,-0.005279541015625,0.0136566162109375
1772456316119097300,0.140097412109375,-0.9625701904296875,-0.0131378173828125,0.01300048828125
1772456316129115100,0.150115234375,-0.9611358642578125,-0.0215301513671875,0.011322021484375
1772456316139134200,0.16013427734375,-0.9651336669921875,-0.022186279296875,0.0132293701171875
1772456316149152300,0.17015234375,-0.974365234375,-0.015655517578125,0.019500732421875
1772456316159170000,0.180170166015625,-0.9817352294921875,-0.0141143798828125,0.025054931640625
1772456316169189000,0.190189208984375,-0.9904022216796875,-0.01300048828125,0.0243682861328125
1772456316179207200,0.200207275390625,-0.9901885986328125,-0.0111541748046875,0.027618408203125
1772456316189226200,0.210226318359375,-0.97509765625,-0.01300048828125,0.027923583984375
1772456316199244300,0.220244384765625,-0.952178955078125,-0.0131378173828125,0.0221099853515625
1772456316209263000,0.23026318359375,-0.9394073486328125,-0.0089263916015625,0.0176544189453125
1772456316219281200,0.24028125,-0.9295806884765625,-0.0079498291015625,0.0173492431640625
1772456316229300200,0.25030029296875,-0.91668701171875,-0.01678466796875,0.0132293701171875
1772456316239318000,0.260318115234375,-0.8945465087890625,-0.0184173583984375,0.00360107421875
1772456316249337000,0.270337158203125,-0.8695526123046875,-0.011199951171875,0.00885009765625
1772456316259355400,0.28035546875,-0.864501953125,-0.010406494140625,0.0196990966796875
1772456316269373200,0.290373291015625,-0.8653106689453125,-0.0179595947265625,0.011383056640625
1772456316279392300,0.300392333984375,-0.8645782470703125,-0.031494140625,0.007843017578125
1772456316289410000,0.31041015625,-0.85626220703125,-0.0499267578125,0.00982666015625
1772456316299429000,0.32042919921875,-0.839599609375,-0.0702972412109375,0.006744384765625
1772456316309447200,0.330447265625,-0.80413818359375,-0.08087158203125,0.019989013671875
1772456316319466200,0.34046630859375,-0.7752838134765625,-0.0822906494140625,0.0249176025390625
1772456316329484300,0.350484375,-0.7640533447265625,-0.074249267578125,0.038665771484375
1772456316339503400,0.36050341796875,-0.779449462890625,-0.0684661865234375,0.0411376953125
